Year,Title,Link
2022,"IMFC Statement by Zainab Ahmed, Minister of Finance, Budget, and Planning, Nigeria",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Nigeria.pdf
2022,"IMFC Statement by Mohammed bin Hadi Al Hussaini, Minister of State for Financial Affairs, United Arab Emirates",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/united-arab-emirates.pdf
2022,"IMFC Statement by Mohammed Aljadaan, Minister of Finance, Saudi Arabia",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/saudi-arabia.pdf
2022,"IMFC Statement by Kyungho Choo, Deputy Prime Minister, Republic of Korea",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Korea.pdf
2022,"IMFC Statement by Mathias Cormann, Secretary-General, OECD",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/OECD.pdf
2022,"IMFC Statement by Rosanna Costa, President of the Central Bank, Chile",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Chile.pdf
2022,"IMFC Statement by Adama Coulibaly, Minister of Economy and Finance, Côte d'Ivoire",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/cote-divoire.pdf
2022,"CMFI Déclaration de Adama Coulibaly, Ministre de lEconomie et des Finances, Côte dIvoire",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/civ-f.pdf
2022,"IMFC Statement by Mikael Damberg, Minister of Finance, Sweden",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Sweden.pdf
2022,"IMFC Statement by Valdis Dombrovskis, Executive Vice President, European Commission",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/EC.pdf
2022,"IMFC Statement by Daniele Franco, Minister of the Economy and Finance, Italy",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Italy.pdf
2022,"IMFC Statement by Chrystia Freeland, Deputy Prime Minister and Minister of Finance, Canada",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Canada.pdf
2022,"CMFI Déclaration de Chrystia Freeland, Vice-première ministre et ministre des Finances, Canada",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/canada-f.pdf
2022,"IMFC Statement by Rebeca Grynspan, Secretary-General, UNCTAD",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/UNCTAD.pdf
2022,"IMFC Statement by Paulo Guedes, Minister of Economy, Brazil",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Brazil.pdf
2022,"IMFC Statement by Sigrid Kaag, Deputy Prime Minister and Minister of Finance, Kingdom of the NetherlandsThe Netherlands",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/kingdom-of-the-netherlands.pdf
2022,"IMFC Statement by Kwasi Kwarteng, Chancellor of the Exchequer, United Kingdom",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/UK.pdf
2022,"IMFC Statement by Christine Lagarde, President, European Central Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/ECB.pdf
2022,"IMFC Statement by Bruno Le Maire, Minister of the Economy, Finance and the Industrial and Digital Sovereignty, France",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/France.pdf
2022,"IMFC Statement by Christian Lindner, Minister of Finance, Germany",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Germany.pdf
2022,"IMFC Statement by György Matolcsy, Governor of the Central Bank, Hungary",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Hungary.pdf
2022,"IMFC Statement by Ueli Maurer, Minister of Finance, Switzerland",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Switzerland.pdf
2022,"IMFC Statement by Nirmala Sitharaman, Minister of Finance and Corporate Affairs, India",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/India.pdf
2022,"IMFC Statement by Zbyněk Stanjura, Chairman, EU Council of Economic and Finance Ministers",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/eu-council-of-economic-and-finance-ministers.pdf
2022,"IMFC Statement by Achim Steiner, Administrator of the United Nations Development Programme, United Nations",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/united-nations.pdf
2022,"IMFC Statement by Shunichi Suzuki, Governor of the IMF for Japan, Japan",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Japan.pdf
2022,"IMFC Statement by Salah-Eddine Taleb, Governor of the Central Bank, Algeria",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Algeria.pdf
2022,"IMFC Statement by Perry Warjiyo, Governor of the Central Bank, Indonesia",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Indonesia.pdf
2022,"IMFC Statement by Janet Yellen, Secretary of the Treasury, United States",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/united-states.pdf
2022,"IMFC Statement by Gang Yi, Governor of the Peoples Bank of China, Peoples Republic of China",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/peoples-republic-of-china.pdf
2021,Documents,https://meetings.imf.org/en/sitecore/templates/Branches/AMSM/Page-Branches/IMF-Microsite/$name/Documents
2021,"IMFC Statement by Mohammed bin Hadi Al Hussaini, Minister of State for Financial Affairs, United Arab Emirates",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/united-arab-emirates.pdf
2021,"IMFC Statement by Mohammed Aljadaan, Minister of Finance, Saudi Arabia",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/saudi-arabia.pdf
2021,"IMFC Statement by Mohammad Sanusi Barkindo, Secretary General, OPEC",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/OPEC.pdf
2021,"IMFC Statement by Mathias Cormann, Secretary-General, OECD",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/OECD.pdf
2021,"IMFC Statement by Valdis Dombrovskis, Executive Vice President, European Commission",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/EC.pdf
2021,"IMFC Statement by Rosthom Fadli, Governor of the Bank of Algeria, Algeria",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Algeria.pdf
2021,"IMFC Statement by Daniele Franco, Minister of the Economy and Finance, Italy",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Italy.pdf
2021,"IMFC Statement by Chrystia Freeland, Deputy Prime Minister and Minister of Finance, Canada",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Canada.pdf
2021,"IMFC Statement by Rebeca Grynspan, Secretary - General, UNCTAD",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/UNCTAD.pdf
2021,"IMFC Statement by Paulo Guedes, Minister of Economy, Brazil",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Brazil.pdf
2021,"IMFC Statement by Martín Guzmán, Minister of Economy, Argentina",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Argentina.pdf
2021,"IMFC Statement by Nam-Ki Hong, Deputy Prime Minister and Minister of Economy and Finance, Republic of Korea",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/republic-of-korea.pdf
2021,"IMFC Statement by Malangu Kabedi-Mbuyi, Governor of Banque Centrale du Congo, Democratic Republic of the Congo",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/democratic-republic-of-the-congo.pdf
2021,"IMFC Statement by Lesetja Kganyago, Governor for the South African Reserve Bank, South Africa",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/south-africa.pdf
2021,"IMFC Statement by Christine Lagarde, President, European Central Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/ECB.pdf
